seed,item,m,U,E_netted,se_slope_netted,E_raw,depth_netted_last,net_max_over_min,raw_max_over_min,first_chunk,last_chunk
1,99,7,0,2.934370e-08,5.019525e-09,1.928575e-02,3.457183,1.000000295,1.246077,34,46
1,104,7,124,3.250427e-09,2.387893e-09,6.785722e-03,3.899558,1.000000072,1.105171,34,46
1,105,6,0,1.585328e-08,3.584976e-09,1.657144e-02,3.350618,1.000000139,1.173511,36,46
1,109,6,0,1.313958e-08,3.374213e-09,1.657145e-02,3.706466,1.000000117,1.173511,36,46
1,110,6,0,1.462422e-08,4.868771e-09,1.657145e-02,3.491866,1.000000156,1.173511,36,46
1,111,5,0,5.491221e-09,2.617745e-09,1.300001e-02,3.794266,1.000000052,1.105171,38,46
1,113,5,93,-4.760840e-09,2.748672e-09,3.999998e-03,3.565528,1.000000048,1.040811,38,46
1,116,5,84,-8.006380e-09,2.489185e-09,6.999996e-03,3.701177,1.000000065,1.061837,38,46
1,119,4,43,4.617155e-09,2.665716e-09,9.000013e-03,3.487031,1.000000031,1.061837,40,46
1,120,4,33,-8.432493e-09,4.868502e-09,8.999996e-03,3.494973,1.000000056,1.061837,40,46
2,13,22,13,1.722763e-08,1.093122e-09,2.763411e-02,0.680772,1.000000778,3.387190,4,46
2,14,22,0,1.774898e-08,1.096973e-09,2.763411e-02,0.655578,1.000000766,3.387190,4,46
2,15,21,0,1.678316e-08,1.216534e-09,2.670131e-02,0.640329,1.000000694,3.004167,6,46
2,16,21,0,1.599280e-08,1.103927e-09,2.670130e-02,0.535749,1.000000655,3.004167,6,46
2,17,21,25,1.733519e-08,1.286569e-09,2.670131e-02,0.497637,1.000000761,3.004168,6,46
2,18,21,0,1.807416e-08,1.310951e-09,2.670131e-02,0.445700,1.000000720,3.004168,6,46
2,19,21,153,1.631198e-08,1.048169e-09,2.235066e-02,0.630687,1.000000623,2.410901,6,46
2,20,21,31,1.726855e-08,1.186775e-09,2.670131e-02,0.688683,1.000000633,3.004167,6,46
2,21,20,38,1.732416e-08,1.103147e-09,2.598497e-02,0.680169,1.000000647,2.718283,8,46
2,22,20,101,1.479442e-08,1.211109e-09,2.095489e-02,0.427500,1.000000633,2.181473,8,46
2,24,20,37,1.784247e-08,1.270893e-09,2.330076e-02,0.527316,1.000000661,2.509292,8,46
2,25,20,14,1.729875e-08,1.136461e-09,2.598497e-02,0.629309,1.000000688,2.718283,8,46
2,26,20,13,1.833321e-08,1.030956e-09,2.598497e-02,0.619565,1.000000661,2.718283,8,46
2,27,19,45,1.820444e-08,1.262289e-09,2.400001e-02,0.931336,1.000000666,2.316368,10,46
2,29,19,40,1.895602e-08,1.329903e-09,2.543861e-02,0.466527,1.000000658,2.509292,10,46
2,30,19,62,1.743930e-08,1.500140e-09,2.543860e-02,0.452956,1.000000623,2.509291,10,46
2,32,19,0,1.698124e-08,1.359689e-09,2.543860e-02,0.527251,1.000000625,2.509291,10,46
2,33,18,0,1.807229e-08,1.433196e-09,2.497421e-02,0.431306,1.000000604,2.363162,12,46
